	a	ai	an	ang	ao	e	ei	en	eng	i	ia	ian	iang	iao	ie	in	ing	iong	iu	n	o	ong	ou	r	u	ua	uai	uan	uang	ue	ui	un	uo	v	ve
a	7275	0	0	531	0	0	0	0	0	8142	0	0	0	0	0	0	0	0	0	17112	6202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b	16191	12682	20117	4582	26065	0	43569	16570	388	19350	0	17693	0	15940	5632	1959	26286	0	0	0	16341	0	0	0	67352	0	0	0	0	0	0	0	0	0	0
c	235	11665	7174	3374	3865	6359	0	63	8455	33603	0	0	0	0	0	0	0	0	0	0	0	9763	73	0	1227	0	0	133	0	0	1604	6448	1570	0	0
ch	8196	819	10945	24385	12121	9891	0	6561	67229	10387	0	0	0	0	0	0	0	0	0	0	0	4085	2095	0	43668	0	17	12976	4763	0	798	3232	136	0	0
d	63610	24189	25654	22803	47600	266903	0	0	20131	69961	0	25134	0	3856	960	0	19104	0	123	0	0	33111	15274	0	24182	0	0	9470	0	0	29441	4597	21913	0	0
e	0	0	0	0	0	5801	0	0	0	4	0	0	0	0	0	0	0	0	0	1597	0	0	0	54557	0	0	0	0	0	0	0	0	0	0	0
f	45988	0	17869	31085	0	0	15645	28272	13319	0	0	0	0	0	0	0	0	0	0	0	847	0	1261	0	50950	0	0	0	0	0	0	0	0	0	0
g	331	17010	7229	12507	17938	55934	3946	5352	6929	0	0	0	0	0	0	0	0	0	0	0	0	57825	8202	0	19097	1146	365	31461	11800	0	11931	373	89238	0	0
h	2572	21958	13959	4519	13233	70727	2348	5270	25512	0	0	0	0	0	0	0	0	0	0	0	0	5875	38841	0	16427	35629	2360	8623	10575	0	43063	2966	24406	0	0
j	0	0	0	0	0	0	0	0	0	131351	46491	55050	28522	32880	46202	42900	41560	173	23822	0	0	0	0	0	35523	0	0	1611	0	10847	0	29253	0	0	0
k	4786	17511	4559	4922	4206	45652	0	1507	365	0	0	0	0	0	0	0	0	0	0	0	0	10913	8106	0	2992	965	2998	2034	3644	0	1449	1580	6818	0	0
l	11029	23224	9838	4220	5100	4263	13104	0	1241	94912	47	17979	26795	40717	9750	11015	21023	0	17683	0	0	7094	3026	0	24227	0	0	1748	0	0	0	10883	16578	11005	2068
m	14587	4984	7204	880	5354	1327	25720	15900	7041	11766	0	14640	0	3466	1573	24412	34002	0	71	0	10806	0	2640	0	19603	0	0	0	0	0	0	0	0	0	0
n	10312	1787	21031	129	1537	160	13684	168	13705	9884	0	82166	580	1529	595	77	3219	0	2745	0	0	3791	4	0	2156	0	0	245	0	0	0	1	2766	5770	112
o	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5185	0	0	0	0	0	0	0	0	0	0
p	1424	9362	3876	1077	2040	0	4123	658	2136	6172	0	5021	0	2623	25	8605	15202	0	0	0	6086	0	86	0	8562	0	0	0	0	0	0	0	0	0	0
q	0	0	0	0	0	0	0	0	0	72260	536	25173	7381	4390	6537	8938	21394	637	14532	0	0	0	0	0	35870	0	0	23921	0	6628	0	3118	0	0	0
r	0	0	10746	3125	1131	2326	0	73682	3436	29530	0	0	0	0	0	0	0	0	0	0	0	6434	1072	0	25216	2	0	1460	0	0	2496	513	2444	0	0
s	3472	8706	16710	934	521	7941	0	2197	468	48843	0	0	0	0	0	0	0	0	0	0	0	5962	1024	0	16535	0	0	4623	0	0	11476	2723	19950	0	0
sh	7216	105	15922	36487	7293	22427	0	20334	40552	257368	0	0	0	0	0	0	0	0	0	0	0	0	30580	0	45816	568	2707	97	2955	0	9395	1576	8882	0	0
t	37758	26126	6825	7274	5451	13755	0	0	1253	26708	0	15901	0	7517	5423	0	8587	0	0	0	0	44906	9197	0	14949	0	0	5707	0	0	5889	659	5393	0	0
w	3049	13553	21986	23963	0	0	121122	29306	262	0	0	0	0	0	0	0	0	0	0	0	5522	0	0	0	49542	0	0	0	0	0	0	0	0	0	0
x	0	0	0	0	0	0	0	0	0	54355	22972	53029	47171	25220	20215	28964	37554	3573	6397	0	0	0	0	0	18744	0	0	13650	0	37319	0	7822	0	0	0
y	19824	0	29249	19824	20239	36399	0	0	0	183289	0	0	0	0	0	35445	30411	0	0	0	1	29100	93021	0	104384	0	0	56896	0	43955	0	12871	0	0	0
z	1703	79808	1671	1777	11649	13182	257	189	3918	52510	0	0	0	0	0	0	0	0	0	0	0	16104	2507	0	21923	0	0	408	0	0	18493	1469	29551	0	0
zh	2058	1534	32297	26577	7982	39671	0	12902	45624	128163	0	0	0	0	0	0	0	0	0	0	0	98174	21838	0	51554	220	12	9364	7730	0	1768	3514	1251	0	0
