	a	ai	an	ang	ao	e	ei	en	eng	i	ia	ian	iang	iao	ie	in	ing	iong	iu	n	o	ong	ou	r	u	ua	uai	uan	uang	ue	ui	un	uo	v	ve
a	0.000998	0.000000	0.000000	0.000073	0.000000	0.000000	0.000000	0.000000	0.000000	0.001116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002346	0.000850	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
b	0.002220	0.001739	0.002758	0.000628	0.003574	0.000000	0.005974	0.002272	0.000053	0.002653	0.000000	0.002426	0.000000	0.002186	0.000772	0.000269	0.003604	0.000000	0.000000	0.000000	0.002241	0.000000	0.000000	0.000000	0.009235	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
c	0.000032	0.001600	0.000984	0.000463	0.000530	0.000872	0.000000	0.000009	0.001159	0.004608	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001339	0.000010	0.000000	0.000168	0.000000	0.000000	0.000018	0.000000	0.000000	0.000220	0.000884	0.000215	0.000000	0.000000
ch	0.001124	0.000112	0.001501	0.003344	0.001662	0.001356	0.000000	0.000900	0.009218	0.001424	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000560	0.000287	0.000000	0.005988	0.000000	0.000002	0.001779	0.000653	0.000000	0.000109	0.000443	0.000019	0.000000	0.000000
d	0.008722	0.003317	0.003518	0.003127	0.006527	0.036598	0.000000	0.000000	0.002760	0.009593	0.000000	0.003446	0.000000	0.000529	0.000132	0.000000	0.002620	0.000000	0.000017	0.000000	0.000000	0.004540	0.002094	0.000000	0.003316	0.000000	0.000000	0.001299	0.000000	0.000000	0.004037	0.000630	0.003005	0.000000	0.000000
e	0.000000	0.000000	0.000000	0.000000	0.000000	0.000795	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000219	0.000000	0.000000	0.000000	0.007481	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
f	0.006306	0.000000	0.002450	0.004262	0.000000	0.000000	0.002145	0.003877	0.001826	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000116	0.000000	0.000173	0.000000	0.006986	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
g	0.000045	0.002332	0.000991	0.001715	0.002460	0.007670	0.000541	0.000734	0.000950	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007929	0.001125	0.000000	0.002619	0.000157	0.000050	0.004314	0.001618	0.000000	0.001636	0.000051	0.012236	0.000000	0.000000
h	0.000353	0.003011	0.001914	0.000620	0.001815	0.009698	0.000322	0.000723	0.003498	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000806	0.005326	0.000000	0.002252	0.004885	0.000324	0.001182	0.001450	0.000000	0.005905	0.000407	0.003347	0.000000	0.000000
j	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018011	0.006375	0.007548	0.003911	0.004509	0.006335	0.005882	0.005699	0.000024	0.003266	0.000000	0.000000	0.000000	0.000000	0.000000	0.004871	0.000000	0.000000	0.000221	0.000000	0.001487	0.000000	0.004011	0.000000	0.000000	0.000000
